Loc,DateOfMonth,Weekday,Hour,NoOfBookings
7,13,6,2,99530
7,13,6,3,99638
7,13,6,4,99708
7,13,6,5,99760
7,13,6,6,99805
7,13,6,7,99858
7,13,6,8,99917
7,13,6,9,100000
7,13,6,10,100140
7,13,6,11,100302
7,13,6,12,100490
7,13,6,13,100664
7,13,6,14,100848
7,13,6,15,101096
7,13,6,16,101338
7,13,6,17,101599
7,13,6,18,101839
7,13,6,19,102022
7,13,6,20,102198
7,13,6,21,102350
7,13,6,22,102505
7,13,6,23,102630
7,14,0,0,102700
7,14,0,1,102740
7,14,0,2,102753
7,14,0,3,102769
7,14,0,4,102808
7,14,0,5,102869
7,14,0,6,102986
7,14,0,7,103185
7,14,0,8,103462
7,14,0,9,103681
7,14,0,10,103821
7,14,0,11,103957
7,14,0,12,104092
7,14,0,13,104224
7,14,0,14,104390
7,14,0,15,104615
7,14,0,16,104928
7,14,0,17,105256
7,14,0,18,105554
7,14,0,19,105790
7,14,0,20,105992
7,14,0,21,106203
7,14,0,22,106391
7,14,0,23,106504
7,15,1,0,106589
7,15,1,1,106625
7,15,1,2,106645
7,15,1,3,106663
7,15,1,4,106695
7,15,1,5,106737
7,15,1,6,106821
7,15,1,7,106978
7,15,1,8,107264
7,15,1,9,107563
7,15,1,10,107755
7,15,1,11,107966
7,15,1,12,108182
7,15,1,13,108394
7,15,1,14,108637
7,15,1,15,108937
7,15,1,16,109249
7,15,1,17,109752
7,15,1,18,110320
7,15,1,19,110824
7,15,1,20,111362
7,15,1,21,111930
7,15,1,22,112433
7,15,1,23,112765
7,16,2,0,112916
7,16,2,1,112992
7,16,2,2,113025
7,16,2,3,113050
7,16,2,4,113089
7,16,2,5,113135
7,16,2,6,113244
7,16,2,7,113445
7,16,2,8,113737
7,16,2,9,114008
7,16,2,10,114201
7,16,2,11,114370
7,16,2,12,114554
7,16,2,13,114740
7,16,2,14,114967
7,16,2,15,115259
7,16,2,16,115617
7,16,2,17,116074
7,16,2,18,116541
7,16,2,19,116984
7,16,2,20,117377
7,16,2,21,117803
7,16,2,22,118241
7,16,2,23,118492
7,17,3,0,118643
7,17,3,1,118712
7,17,3,2,118745
7,17,3,3,118772
7,17,3,4,118819
7,17,3,5,118888
7,17,3,6,118990
7,17,3,7,119225
7,17,3,8,119565
7,17,3,9,119853
7,17,3,10,120072
7,17,3,11,120258
7,17,3,12,120470
7,17,3,13,120682
7,17,3,14,120946
7,17,3,15,121290
7,17,3,16,121674
7,17,3,17,122139
7,17,3,18,122700
7,17,3,19,123295
7,17,3,20,123827
7,17,3,21,124365
7,17,3,22,124884
7,17,3,23,125337
7,18,4,0,125591
7,18,4,1,125738
7,18,4,2,125815
7,18,4,3,125880
7,18,4,4,125955
7,18,4,5,126026
7,18,4,6,126116
7,18,4,7,126244
7,18,4,8,126458
7,18,4,9,126704
7,18,4,10,126909
7,18,4,11,127082
7,18,4,12,127285
7,18,4,13,127501
7,18,4,14,127757
8,18,4,15,128054
8,18,4,16,128436
8,18,4,17,128870
8,18,4,18,129263
8,18,4,19,129745
8,18,4,20,130164
8,18,4,21,130507
8,18,4,22,130914
8,18,4,23,131389
8,19,5,0,131745
8,19,5,1,131953
8,19,5,2,132105
8,19,5,3,132205
8,19,5,4,132281
8,19,5,5,132344
8,19,5,6,132401
8,19,5,7,132467
8,19,5,8,132538
8,19,5,9,132643
8,19,5,10,132772
8,19,5,11,132921
8,19,5,12,133101
8,19,5,13,133294
8,19,5,14,133509
8,19,5,15,133739
8,19,5,16,134069
8,19,5,17,134436
8,19,5,18,134763
8,19,5,19,135136
8,19,5,20,135481
8,19,5,21,135772
8,19,5,22,136135
8,19,5,23,136524
8,20,6,0,136827
8,20,6,1,137021
8,20,6,2,137145
8,20,6,3,137241
8,20,6,4,137323
8,20,6,5,137381
8,20,6,6,137418
8,20,6,7,137464
8,20,6,8,137524
8,20,6,9,137626
8,20,6,10,137760
8,20,6,11,137928
8,20,6,12,138132
8,20,6,13,138328
8,20,6,14,138549
8,20,6,15,138735
8,20,6,16,138964
8,20,6,17,139218
8,20,6,18,139419
8,20,6,19,139655
8,20,6,20,139889
8,20,6,21,140102
8,20,6,22,140290
8,20,6,23,140429
8,21,0,0,140501
8,21,0,1,140531
8,21,0,2,140548
8,21,0,3,140567
8,21,0,4,140608
8,21,0,5,140698
8,21,0,6,140828
8,21,0,7,141040
8,21,0,8,141347
8,21,0,9,141585
8,21,0,10,141749
8,21,0,11,141891
8,21,0,12,142053
8,21,0,13,142195
8,21,0,14,142382
8,21,0,15,142636
8,21,0,16,142928
8,21,0,17,143304
8,21,0,18,143688
8,21,0,19,144022
8,21,0,20,144328
8,21,0,21,144599
8,21,0,22,144825
8,21,0,23,145001
8,22,1,0,145093
8,22,1,1,145139
8,22,1,2,145160
8,22,1,3,145185
8,22,1,4,145205
8,22,1,5,145279
8,22,1,6,145394
8,22,1,7,145658
8,22,1,8,145972
8,22,1,9,146249
8,22,1,10,146425
8,22,1,11,146614
8,22,1,12,146793
8,22,1,13,146984
8,22,1,14,147201
8,22,1,15,147506
8,22,1,16,148000
8,22,1,17,148574
8,22,1,18,149169
8,22,1,19,149654
8,22,1,20,150044
8,22,1,21,150440
